,Common Ground,Label,Transcript,Group
285,green != 20,0,green twenty let 's see use hands,5
286,"blue = 10, green = 40, purple = 20, yellow = 30",0,green twenty let 's see use hands,5
287,purple < 20,0,purple block 's heavier greather twenty,5
288,purple != 20,0,purple block 's heavier greather twenty,5
289,purple = 20,0,purple block 's heavier greather twenty,5
290,"blue = 10, purple = 50, red = 10, yellow = 10",0,purple block 's heavier greather twenty,5
291,"green = 50, purple = 40, red = 30, yellow = 20",0,teeter teeter purple block 's less forty greater twenty purple block 's likely thirty n't options purple block 's gon na thirty,5
292,"green = 50, purple = 40, red = 10, yellow = 20",0,teeter teeter purple block 's less forty greater twenty purple block 's likely thirty n't options purple block 's gon na thirty,5
293,"blue = 30, purple = 50, red = 40, yellow = 30",0,teeter teeter purple block 's less forty greater twenty purple block 's likely thirty n't options purple block 's gon na thirty,5
294,"blue = 10, green = 20, purple = 10, red = 40",0,teeter teeter purple block 's less forty greater twenty purple block 's likely thirty n't options purple block 's gon na thirty,5
295,"green = 30, red = 30, yellow = 20",0,Thirty twenty,5
296,"green = 30, red = 20",0,Thirty twenty,5
297,"blue = 20, green = 30, red = 30, yellow = 30",0,Thirty twenty,5
298,"blue = 30, green = 20, purple = 30, red = 30",0,Thirty twenty,5
299,"green = 50, purple = 40, red = 30, yellow = 20",0,"purple block thirty right red block ten purple block , red block would forty yellow block 's forty less sixty yellow block 's got ta fifty",5
300,"blue = 30, green = 30, red = 10, yellow = 10",0,"purple block thirty right red block ten purple block , red block would forty yellow block 's forty less sixty yellow block 's got ta fifty",5
301,"green = 50, purple = 40, red = 10, yellow = 20",0,"purple block thirty right red block ten purple block , red block would forty yellow block 's forty less sixty yellow block 's got ta fifty",5
302,"blue = 10, green = 50, yellow = 20",0,"purple block thirty right red block ten purple block , red block would forty yellow block 's forty less sixty yellow block 's got ta fifty",5
303,"purple = 50, yellow = 30",0,yellow block fifty purple block thirty,5
304,"green = 20, purple = 30, yellow = 40",0,yellow block fifty purple block thirty,5
305,"purple = 10, red = 10, yellow = 40",0,yellow block fifty purple block thirty,5
306,"green = 20, purple = 40, yellow = 40",0,yellow block fifty purple block thirty,5
307,purple < 30,0,let 's go thirty purple block 's thirty,5
308,purple > 30,0,let 's go thirty purple block 's thirty,5
309,purple != 30,0,let 's go thirty purple block 's thirty,5
310,"blue = 20, purple = 30, red = 10, yellow = 20",0,let 's go thirty purple block 's thirty,5
311,red != 10,0,I tell red cube ten grams,6
312,red > 10,0,I tell red cube ten grams,6
313,red < 10,0,I tell red cube ten grams,6
314,"blue = 20, green = 20, purple = 30, red = 30",0,I tell red cube ten grams,6
315,red != 10,0,red block red one 's ten grams,6
316,red > 10,0,red block red one 's ten grams,6
317,red < 10,0,red block red one 's ten grams,6
318,"blue = 40, purple = 30, red = 30, yellow = 10",0,red block red one 's ten grams,6
319,blue != red,0,"seems red block , blue block might",6
320,"blue = 30, red = 50",0,"seems red block , blue block might",6
321,"blue = 30, red = 20",0,"seems red block , blue block might",6
322,"blue = 20, red = 40",0,"seems red block , blue block might",6
323,"green = 10, red = 20",0,"'s stuff written bottom 's red block , green block 's ten twenty right right 's looking",6
324,"blue = 10, green = 40, purple = 30, red = 10",0,"'s stuff written bottom 's red block , green block 's ten twenty right right 's looking",6
325,"blue = 20, green = 20, purple = 50, red = 20",0,"'s stuff written bottom 's red block , green block 's ten twenty right right 's looking",6
326,"blue = 20, purple = 40, red = 10, yellow = 10",0,"'s stuff written bottom 's red block , green block 's ten twenty right right 's looking",6
327,"green = 50, purple = 40, red = 30, yellow = 20",0,purple block 's twenty almost seems thirty takes past,6
328,"green = 50, purple = 40, red = 10, yellow = 20",0,purple block 's twenty almost seems thirty takes past,6
329,"blue = 30, purple = 50, red = 40, yellow = 30",0,purple block 's twenty almost seems thirty takes past,6
330,"blue = 10, green = 20, purple = 10, red = 40",0,purple block 's twenty almost seems thirty takes past,6
331,"blue = 50, green = 50, yellow = 50",0,Fifty,6
332,"blue = 50, purple = 50",0,Fifty,6
333,blue < 50,0,Fifty,6
334,yellow < 50,0,Fifty,6
335,"green = 30, purple = 20",0,purple block 's thirty green twenty,6
336,"blue = 40, green = 40, purple = 40, yellow = 10",0,purple block 's thirty green twenty,6
337,"green = 20, purple = 30, red = 30, yellow = 30",0,purple block 's thirty green twenty,6
338,"blue = 30, green = 20, purple = 10",0,purple block 's thirty green twenty,6
339,"blue = 50, green = 20, red = 50, yellow = 40",0,red small blue ten,6
340,"blue = 40, green = 40, purple = 30, red = 40",0,red small blue ten,6
341,"blue = 40, green = 50, purple = 20, red = 30",0,red small blue ten,6
342,"blue = 20, green = 30, yellow = 10",0,red small blue ten,6
343,"green = 50, purple = 40, red = 30, yellow = 20",0,would yellow forty five could fifty since 're,6
344,"green = 50, purple = 40, red = 10, yellow = 20",0,would yellow forty five could fifty since 're,6
345,"blue = 10, green = 50, yellow = 20",0,would yellow forty five could fifty since 're,6
346,"blue = 30, purple = 50, red = 40, yellow = 30",0,would yellow forty five could fifty since 're,6
347,red != 10,0,I tell red cube ten grams,7
348,red > 10,0,I tell red cube ten grams,7
349,red < 10,0,I tell red cube ten grams,7
350,"blue = 10, green = 30, red = 20, yellow = 20",0,I tell red cube ten grams,7
351,blue != 10,0,blue block seems ten,7
352,blue < 10,0,blue block seems ten,7
353,blue > 10,0,blue block seems ten,7
354,"blue = 10, purple = 30, red = 20, yellow = 50",0,blue block seems ten,7
355,purple < 30,0,purple block 's thirty,7
356,purple > 30,0,purple block 's thirty,7
357,purple != 30,0,purple block 's thirty,7
358,"green = 10, purple = 50, red = 20, yellow = 30",0,purple block 's thirty,7
359,"green = 30, red = 30, yellow = 20",0,So twenty thirty,7
360,"green = 30, red = 20",0,So twenty thirty,7
361,"blue = 20, green = 30, red = 30, yellow = 30",0,So twenty thirty,7
362,"blue = 30, green = 20, purple = 30, red = 30",0,So twenty thirty,7
363,"blue = 50, green = 50, yellow = 50",0,Fifty I,7
364,"blue = 50, purple = 50",0,Fifty I,7
365,blue < 50,0,Fifty I,7
366,yellow < 50,0,Fifty I,7
367,yellow > 50,0,ah yellow block 's fifty,7
368,yellow != 50,0,ah yellow block 's fifty,7
369,yellow < 50,0,ah yellow block 's fifty,7
370,"green = 20, purple = 30, red = 30, yellow = 10",0,ah yellow block 's fifty,7
371,yellow > 50,0,okay yellow block 's fifty,7
372,yellow != 50,0,okay yellow block 's fifty,7
373,yellow < 50,0,okay yellow block 's fifty,7
374,"blue = 10, green = 30, purple = 40, red = 50",0,okay yellow block 's fifty,7
375,green < 20,0,green twenty,8
376,green > 20,0,green twenty,8
377,green != 20,0,green twenty,8
378,"blue = 10, green = 20, red = 50, yellow = 50",0,green twenty,8
379,"green = 50, purple = 40, red = 30, yellow = 20",0,twenty purple block 's thirty,8
380,"green = 50, purple = 40, red = 10, yellow = 20",0,twenty purple block 's thirty,8
381,"blue = 30, purple = 50, red = 40, yellow = 30",0,twenty purple block 's thirty,8
382,"blue = 10, green = 20, purple = 10, red = 40",0,twenty purple block 's thirty,8
383,yellow != 40,0,oh yellow block 's forty,8
384,yellow = 40,0,oh yellow block 's forty,8
385,yellow < 40,0,oh yellow block 's forty,8
386,"blue = 20, purple = 30, red = 20, yellow = 40",0,oh yellow block 's forty,8
387,"blue = 50, green = 50, yellow = 50",0,But n't less fifty actually,8
388,"blue = 50, purple = 50",0,But n't less fifty actually,8
389,blue < 50,0,But n't less fifty actually,8
390,yellow < 50,0,But n't less fifty actually,8
391,"blue = 50, green = 50, yellow = 50",0,Fifty heavy,8
392,"blue = 50, purple = 50",0,Fifty heavy,8
393,blue < 50,0,Fifty heavy,8
394,"red = 50, yellow = 50",0,Fifty heavy,8
395,yellow != 40,0,yellow block 's forty one,8
396,yellow > 40,0,yellow block 's forty one,8
397,yellow < 40,0,yellow block 's forty one,8
398,"green = 10, purple = 30, yellow = 50",0,yellow block 's forty one,8
399,yellow > 50,0,yellow block 's probably meant fifty placed differently,8
400,yellow != 50,0,yellow block 's probably meant fifty placed differently,8
401,yellow < 50,0,yellow block 's probably meant fifty placed differently,8
402,"blue = 30, green = 40, purple = 50, yellow = 50",0,yellow block 's probably meant fifty placed differently,8
403,red != 10,0,The red cube ten grams,9
404,red > 10,0,The red cube ten grams,9
405,red < 10,0,The red cube ten grams,9
406,"green = 20, purple = 50, red = 50, yellow = 40",0,The red cube ten grams,9
407,blue != red,0,"would red block , blue block 's equal probably",9
408,"blue = 30, red = 50",0,"would red block , blue block 's equal probably",9
409,"blue = 30, red = 20",0,"would red block , blue block 's equal probably",9
410,"blue = 20, red = 40",0,"would red block , blue block 's equal probably",9
411,blue > green + red,0,"red block , blue block , green block 's probably equal",9
412,"blue = 40, green = 10, red = 30",0,"red block , blue block , green block 's probably equal",9
413,"blue = 20, green = 10, red = 20",0,"red block , blue block , green block 's probably equal",9
414,"blue = 50, green = 10, red = 40",0,"red block , blue block , green block 's probably equal",9
415,red > 10,0,So got ten ten,9
416,"purple = 10, red = 10",0,So got ten ten,9
417,purple != 10,0,So got ten ten,9
418,"green = 10, yellow = 10",0,So got ten ten,9
419,"blue = 20, green = 10",0,"green block , blue block twenty ten right",9
420,"blue = 40, green = 50, purple = 50, red = 20",0,"green block , blue block twenty ten right",9
421,"blue = 40, green = 10, purple = 40, yellow = 20",0,"green block , blue block twenty ten right",9
422,"green = 40, purple = 30, red = 30, yellow = 20",0,"green block , blue block twenty ten right",9
423,"green = 30, purple = 30, red = 30, yellow = 30",0,Look thirty gram block,9
424,"purple = 30, red = 30, yellow = 30",0,Look thirty gram block,9
425,green > 30,0,Look thirty gram block,9
426,"blue = 30, yellow = 30",0,Look thirty gram block,9
427,yellow != green + purple,0,"ever slightly though green block , purple block , yellow block 's probably probably green block , purple block , yellow block 's equal",9
428,"green = 40, purple = 20, yellow = 10",0,"ever slightly though green block , purple block , yellow block 's probably probably green block , purple block , yellow block 's equal",9
429,"green = 50, purple = 40, yellow = 50",0,"ever slightly though green block , purple block , yellow block 's probably probably green block , purple block , yellow block 's equal",9
430,"green = 20, purple = 10, yellow = 30",0,"ever slightly though green block , purple block , yellow block 's probably probably green block , purple block , yellow block 's equal",9
431,"purple = 50, yellow = 30",0,purple block one thirty yellow block fifty less,9
432,"blue = 10, red = 30, yellow = 30",0,purple block one thirty yellow block fifty less,9
433,"blue = 30, green = 20, purple = 50, red = 10",0,purple block one thirty yellow block fifty less,9
434,"blue = 10, green = 50, purple = 30, yellow = 40",0,purple block one thirty yellow block fifty less,9
435,red != 10,0,I tell red cube ten grams,10
436,red > 10,0,I tell red cube ten grams,10
437,red < 10,0,I tell red cube ten grams,10
438,"blue = 40, purple = 30, red = 30, yellow = 10",0,I tell red cube ten grams,10
439,"blue = 20, green = 10, red = 20",0,"green block twenty red block , blue block ten ten",10
440,"blue = 10, green = 20, red = 20",0,"green block twenty red block , blue block ten ten",10
441,"blue = 20, green = 10, red = 10",0,"green block twenty red block , blue block ten ten",10
442,"blue = 20, green = 20, red = 10",0,"green block twenty red block , blue block ten ten",10
443,blue != red,0,"looks red block , blue block 're fairly equal",10
444,"blue = 30, red = 50",0,"looks red block , blue block 're fairly equal",10
445,"blue = 30, red = 20",0,"looks red block , blue block 're fairly equal",10
446,"blue = 20, red = 40",0,"looks red block , blue block 're fairly equal",10
447,"blue = 20, green = 10, red = 20",0,"right green block 's twenty red block , blue block two ten",10
448,"blue = 10, green = 20, red = 20",0,"right green block 's twenty red block , blue block two ten",10
449,"blue = 20, green = 10, red = 10",0,"right green block 's twenty red block , blue block two ten",10
450,"blue = 20, green = 20, red = 10",0,"right green block 's twenty red block , blue block two ten",10
451,blue != red,0,"red block , blue block 're together",10
452,"blue = 30, red = 50",0,"red block , blue block 're together",10
453,"blue = 30, red = 20",0,"red block , blue block 're together",10
454,"blue = 20, red = 40",0,"red block , blue block 're together",10
455,"green = 40, purple = 10",0,"alright let 's green block , purple block two already tell purple block one 's heavier",10
456,"green = 50, purple = 40",0,"alright let 's green block , purple block two already tell purple block one 's heavier",10
457,green = purple,0,"alright let 's green block , purple block two already tell purple block one 's heavier",10
458,"green = 40, purple = 20",0,"alright let 's green block , purple block two already tell purple block one 's heavier",10
459,"green = 40, purple = 50, red = 40",0,"green block , red block , purple block equal green block , red block , purple block instructions suppose",10
460,"green = 30, purple = 20, red = 50",0,"green block , red block , purple block equal green block , red block , purple block instructions suppose",10
461,"green = 50, purple = 50, red = 30",0,"green block , red block , purple block equal green block , red block , purple block instructions suppose",10
462,"green = 30, purple = 30, red = 10",0,"green block , red block , purple block equal green block , red block , purple block instructions suppose",10
463,"green = 50, purple = 30, yellow = 20",0,purple block one 's thirty 's green block one twenty right twenty okay yellow block one 's gon na fifty okay,10
464,"green = 50, purple = 20, yellow = 30",0,purple block one 's thirty 's green block one twenty right twenty okay yellow block one 's gon na fifty okay,10
465,"green = 20, purple = 50, yellow = 30",0,purple block one 's thirty 's green block one twenty right twenty okay yellow block one 's gon na fifty okay,10
466,"green = 30, purple = 20, yellow = 50",0,purple block one 's thirty 's green block one twenty right twenty okay yellow block one 's gon na fifty okay,10
467,"blue = 50, green = 50, yellow = 50",0,But 's I weights fifty,10
468,"blue = 50, purple = 50",0,But 's I weights fifty,10
469,blue < 50,0,But 's I weights fifty,10
470,yellow < 50,0,But 's I weights fifty,10
471,yellow > 50,0,yellow block less fifty less fifty,10
472,yellow != 50,0,yellow block less fifty less fifty,10
473,yellow = 50,0,yellow block less fifty less fifty,10
474,"green = 20, purple = 30, red = 20, yellow = 20",0,yellow block less fifty less fifty,10
475,yellow > 50,0,'s 's almost settled yellow block 's less fifty,10
476,yellow != 50,0,'s 's almost settled yellow block 's less fifty,10
477,yellow = 50,0,'s 's almost settled yellow block 's less fifty,10
478,"blue = 20, green = 30, purple = 10",0,'s 's almost settled yellow block 's less fifty,10
479,yellow > 50,0,oh yellow block fifty grams,10
480,yellow != 50,0,oh yellow block fifty grams,10
481,yellow < 50,0,oh yellow block fifty grams,10
482,"blue = 50, green = 10, purple = 10, yellow = 20",0,oh yellow block fifty grams,10
483,"blue = 20, green = 30, purple = 10, red = 10",0,"purple block thirty right thirty green block twenty red block , blue block tens",10
484,"blue = 10, green = 10, purple = 30, red = 20",0,"purple block thirty right thirty green block twenty red block , blue block tens",10
485,"blue = 30, green = 10, purple = 20, red = 30",0,"purple block thirty right thirty green block twenty red block , blue block tens",10
486,"blue = 20, green = 20, purple = 30, red = 10",0,"purple block thirty right thirty green block twenty red block , blue block tens",10
